File Name,Class Label Short
TA_TE_041,N
TA_TE_042,N
TA_TE_043,N
TA_TE_044,N
TA_TE_045,N
TA_TE_031,R
TA_TE_032,C
TA_TE_033,N
TA_TE_034,N
TA_TE_035,R
TA_TE_036,N
TA_TE_037,N
TA_TE_038,R
TA_TE_039,N
TA_TE_040,N
TA_TE_008,N
TA_TE_009,N
TA_TE_007,N
TA_TE_010,N
TA_TE_011,G
TA_TE_012,N
TA_TE_013,G
TA_TE_014,N
TA_TE_015,G
TA_TE_016,C
TA_TE_046,N
TA_TE_047,C
TA_TE_048,C
TA_TE_049,N
TA_TE_050,C
TA_TE_021,C
TA_TE_022,N
TA_TE_023,G
TA_TE_024,N
TA_TE_025,C
TA_TE_026,G
TA_TE_027,G
TA_TE_028,G
TA_TE_029,G
TA_TE_020,C
TA_TE_019,N
TA_TE_018,C
TA_TE_017,N
TA_TE_006,G
TA_TE_005,G
TA_TE_004,N
TA_TE_003,G
TA_TE_002,C
TA_TE_001,G
TA_TE_030,G
