File Name,Class Label Short
ML_TE_19.wav,N
ML_TE_39.wav,C
ML_TE_008.wav,C
ML_TE_34.wav,N
ML_TE_46.wav,N
ML_TE_47.wav,N
ML_TE_33.wav,N
ML_TE_31.wav,C
ML_TE_25.wav,N
ML_TE_36.wav,P
ML_TE_22.wav,C
ML_TE_001.wav,C
ML_TE_28.wav,C
ML_TE_14.wav,C
ML_TE_007.wav,C
ML_TE_002.wav,N
ML_TE_23.wav,C
ML_TE_50.wav,N
ML_TE_44.wav,N
ML_TE_12.wav,N
ML_TE_003.wav,C
ML_TE_35.wav,G
ML_TE_26.wav,C
ML_TE_18.wav,G
ML_TE_30.wav,N
ML_TE_20.wav,G
ML_TE_42.wav,N
ML_TE_006.wav,C
ML_TE_17.wav,N
ML_TE_48.wav,N
ML_TE_009.wav,C
ML_TE_005.wav,C
ML_TE_37.wav,N
ML_TE_24.wav,R
ML_TE_004.wav,C
ML_TE_16.wav,R
ML_TE_27.wav,N
ML_TE_43.wav,N
ML_TE_21.wav,N
ML_TE_010.wav,C
ML_TE_32.wav,C
ML_TE_13.wav,C
ML_TE_15.wav,C
ML_TE_38.wav,C
ML_TE_41.wav,G
ML_TE_11.wav,G
ML_TE_40.wav,N
ML_TE_45.wav,N
ML_TE_29.wav,C
ML_TE_49.wav,N
